pid,born,age,gender,race,grade,tertiary,province,dweltyp,no_reside,water,elect,work_feb,emdays_feb,emhrs_feb,feb_pay_pure,feb_pay,work_apr,apr_return,worktype,work_code,emdays_apr,emhrs_apr,apr_pay_pure,apr_pay,uif_ters,work_seek,last_seek,hh_childgrant,any_childgrant,hh_govpen,any_govpen,grant_rec,grantyp1,grantyp2,grantyp3,hhincsource1,hhincsource2,hhincsource3,hhincdec1,hhincdec2,hhincdec3,apr_hh_inc,hh_inc_lost,nomoneyfood,7dayshungry,chldcr,time_chldcr,kids_in_school,ed_books,edtv,edradio,edonline,suppgov,suppngo,suppcom
301199,1981,39,male,african,11,no,gauteng,house/flat,6,yes,yes,no,2.0,6.0,500,,no,no,,,,,,,,yes,>1 year ago,2.0,,1.0,,no,,,,government grants,,,,,,,,yes,yes,yes,over 4 hours more,1.0,yes,yes,yes,no,no,no,no
301204,1979,41,male,african,11,no,mpumalanga,house/flat,1,yes,yes,yes,4.0,12.0,,"R6,001-R12,000",yes,,casual work,technicians & assoc prof,4.0,12.0,8000.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,9500.0,yes,yes,no,,,0.0,,,,,no,no,no
301208,1985,35,female,african,12,no,limpopo,traditional,5,no,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,3.0,,0.0,,no,,,,government grants,,,from government grants,,,1800.0,yes,no,no,no,,2.0,no,yes,yes,no,no,no,no
301209,1977,43,female,african,12,no,mpumalanga,house/flat,4,yes,yes,yes,5.0,1.0,450,,no,,self-employed,,,,,,,,,2.0,,0.0,,no,,,,government grants,friends/family,,from own business,,,840.0,yes,yes,no,no,,2.0,yes,yes,yes,no,no,no,no
301215,1972,48,female,african,12,yes,mpumalanga,house/flat,6,yes,yes,yes,5.0,7.0,,"R6,001-R12,000",no,yes,regular job,professionals,,,,"R6,001-R12,000",no,,,2.0,,0.0,,no,,,,employment,,,no income decrease,,,,no,no,no,yes,1-2 hours,2.0,no,yes,yes,no,no,no,no
301227,1956,64,female,african,7,,free state,house/flat,6,yes,yes,no,,,,,no,no,,,,,,,,,,3.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,4200.0,no,yes,no,yes,over 4 hours more,3.0,yes,yes,yes,yes,no,no,no
301236,1964,56,female,african,8,,gauteng,informal,6,yes,yes,yes,3.0,4.0,1900,,yes,,casual work,elementary occup,2.0,9.0,600.0,,no,,,0.0,,0.0,,no,,,,employment,friends/family,,from employment,,,600.0,no,yes,no,no,,0.0,no,no,no,no,no,no,no
301237,1934,86,female,african,no schooling,,gauteng,house/flat,4,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,2.0,,yes,pension,,,government grants,,,no income decrease,,,4200.0,no,no,no,,,,,,,,no,no,no
301241,1988,32,female,african,11,no,gauteng,informal,7,yes,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,3.0,,0.0,,no,,,,own business,government grants,,from own business,,,2100.0,no,no,yes,yes,over 4 hours more,2.0,yes,yes,yes,no,no,no,no
301252,1976,44,female,african,12,no,gauteng,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,3.0,,0.0,,no,,,,friends/family,,,from friends/family,,,,yes,yes,no,yes,over 4 hours more,1.0,yes,yes,no,no,no,no,no
301253,9999,,female,african,no schooling,,gauteng,house/flat,4,yes,yes,retired,,,,,,,,,,,,,,,,1.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,3000.0,yes,yes,no,yes,1-2 hours,1.0,no,no,no,no,no,no,no
301260,1974,46,male,african,3,,gauteng,informal,1,no,yes,no,2.0,7.0,400,,yes,,casual work,craft & trade,5.0,7.0,,,no,,,0.0,,0.0,,no,,,,employment,,,from employment,,,500.0,yes,yes,yes,,,0.0,,,,,no,no,no
301261,1959,61,male,african,11,no,gauteng,house/flat,1,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,1780.0,no,no,no,no,,0.0,no,no,no,no,no,no,no
301265,1984,36,female,african,10,yes,gauteng,informal,3,yes,no,yes,3.0,12.0,3000,,no,no,,,,,,,,yes,within last month,0.0,,0.0,,no,,,,employment,government grants,,from employment,,,400.0,yes,yes,no,,,,,,,,no,no,no
301268,1990,30,male,african,12,no,gauteng,house/flat,1,yes,yes,yes,5.0,8.0,5500,,no,,regular job,service & sales,,,5500.0,,yes,,,0.0,,0.0,,no,,,,employment,,,from employment,,,5500.0,no,no,yes,no,,0.0,no,no,no,no,no,no,no
301270,1987,33,female,african,12,no,gauteng,informal,5,no,no,no,,,,,no,no,,,,,,,,yes,>1 year ago,3.0,,0.0,,no,,,,employment,government grants,,from employment,,,5100.0,no,no,no,no,,2.0,no,yes,no,no,yes,no,no
301278,1983,37,female,african,12,yes,gauteng,house/flat,7,no,no,yes,7.0,12.0,4600,,yes,,regular job,professionals,7.0,12.0,4600.0,,no,,,0.0,,1.0,,no,,,,employment,,,no income decrease,,,4600.0,no,no,no,no,,1.0,yes,no,no,no,no,no,no
301286,1984,36,female,african,11,no,gauteng,house/flat,5,yes,yes,no,,,,,no,no,,,,,,,,,,1.0,,0.0,,no,,,,government grants,friends/family,,from friends/family,,,2500.0,no,yes,no,no,,2.0,yes,yes,yes,yes,no,no,no
301290,1971,49,male,african,11,no,gauteng,informal,4,yes,yes,no,,,,,no,no,,,,,,,,,,0.0,,0.0,,yes,disability,,,friends/family,,,no income decrease,,,1800.0,yes,yes,no,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,no,no
301293,1975,45,female,african,12,yes,gauteng,house/flat,1,yes,yes,yes,5.0,8.0,4000,,yes,,regular job,service & sales,5.0,8.0,4200.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,4100.0,no,no,no,no,,0.0,,,,,no,no,no
301296,1981,39,female,african,11,yes,gauteng,house/flat,1,yes,yes,no,5.0,6.0,3500,,yes,,regular job,professionals,5.0,8.0,7200.0,,no,,,0.0,,0.0,,no,,,,employment,,,,,,,no,no,no,no,,0.0,no,yes,no,no,no,no,no
301309,1979,41,male,african,5,,mpumalanga,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,no,1-6 months ago,1.0,,1.0,,no,,,,employment,,,from employment,,,2600.0,yes,yes,no,yes,1-2 hours,1.0,no,yes,yes,yes,no,no,yes
301313,1972,48,female,african,12,no,gauteng,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,,,0.0,,0.0,,yes,distress,,,government grants,,,no income decrease,,,8600.0,no,no,no,no,,2.0,no,yes,yes,no,no,no,no
301324,1963,57,female,african,7,,gauteng,house/flat,8,yes,yes,no,,,,,no,no,,,,,,,,,,4.0,,0.0,,no,,,,government grants,,,no income decrease,,,,,yes,no,no,,1.0,yes,yes,yes,yes,no,no,no
301327,1979,41,female,african,11,no,gauteng,house/flat,6,yes,yes,yes,1.0,8.0,800,,no,no,,,,,,,,no,1-6 months ago,2.0,,0.0,,no,,,,employment,government grants,,from employment,,,1340.0,yes,yes,no,yes,over 4 hours more,2.0,yes,yes,no,no,no,no,no
301329,1983,37,female,african,12,yes,eastern cape,house/flat,3,no,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,2.0,,0.0,,no,,,,government grants,,,from government grants,,,1500.0,no,no,no,yes,over 4 hours more,1.0,yes,yes,no,no,no,no,no
301340,1962,58,male,african,11,no,gauteng,house/flat,3,yes,yes,yes,5.0,7.0,90,,no,,casual work,elementary occup,0.0,0.0,,,no,,,0.0,,0.0,,no,,,,employment,,,from employment,no income,,360.0,yes,yes,yes,,,,,,,,no,no,no
301342,1985,35,male,african,11,no,mpumalanga,house/flat,7,yes,yes,no,5.0,8.0,2000,,yes,,run a business,,,,,,,,,0.0,,0.0,,no,,,,no income,,,from own business,,,7000.0,no,no,no,yes,over 4 hours more,2.0,no,yes,yes,yes,no,no,no
301346,1988,32,male,african,10,yes,gauteng,house/flat,6,yes,yes,yes,5.0,11.0,6500,,yes,,regular job,operators & assemblers,5.0,11.0,6500.0,,no,,,1.0,,0.0,,no,,,,employment,government grants,,from employment,,,4500.0,no,no,no,yes,3-4 hours,1.0,no,yes,yes,yes,no,no,no
301371,1959,61,female,african,7,,gauteng,house/flat,5,yes,yes,yes,0.0,0.0,0,,no,no,,,,,,,,no,>1 year ago,2.0,,0.0,,no,,,,government grants,,,from government grants,,,980.0,no,no,no,yes,over 4 hours more,0.0,no,no,no,no,yes,yes,yes
301373,1975,45,female,african,12,no,gauteng,house/flat,6,yes,no,yes,5.0,8.0,3500,,no,no,,,,,,,,no,within last month,0.0,,0.0,,no,,,,employment,,,no income,,,,yes,yes,no,yes,over 4 hours more,2.0,yes,yes,yes,no,yes,no,no
301376,9999,,male,african,12,yes,gauteng,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,no,1-6 months ago,,no,,no,no,,,,employment,,,no income decrease,,,14000.0,no,no,no,yes,over 4 hours more,1.0,yes,yes,yes,no,no,no,no
301380,1982,38,female,african,no schooling,,western cape,house/flat,5,no,no,no,,,,,no,no,,,,,,,,no,within last month,2.0,,0.0,,no,,,,government grants,,,no income,,,1300.0,no,yes,yes,yes,over 4 hours more,1.0,yes,no,no,no,no,no,yes
301390,1988,32,female,african,12,yes,gauteng,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,no,never worked,2.0,,0.0,,no,,,,government grants,,,no income decrease,,,2000.0,no,yes,no,yes,over 4 hours more,1.0,yes,no,no,no,no,no,no
301401,1958,62,male,african,5,,gauteng,house/flat,3,yes,yes,no,1.0,2.0,100,,no,,casual work,self-employed,1.0,2.0,,,no,,,1.0,,1.0,,yes,pension,,,government grants,,,from own business,no income decrease,,1400.0,yes,yes,yes,,,,,,,,no,no,no
301418,1991,29,female,african,12,yes,gauteng,house/flat,4,yes,yes,no,4.0,3.0,3500,,no,no,,,,,,,,no,1-6 months ago,1.0,,0.0,,no,,,,own business,,,from own business,,,0.0,yes,no,no,yes,over 4 hours more,1.0,no,no,no,yes,no,no,no
301420,1978,42,male,african,4,,north west,house/flat,2,yes,yes,no,,,,,yes,,,craft & trade,7.0,5.0,,,no,,,0.0,,0.0,,no,,,,no income,,,no income,,,0.0,no,yes,yes,,,,,,,,no,no,no
301421,1986,34,female,african,12,yes,north west,house/flat,4,yes,yes,no,,,,,no,no,,,,,,,,,,2.0,,1.0,,yes,child support,distress,,government grants,,,no income decrease,,,,no,no,no,yes,3-4 hours,2.0,no,no,no,no,no,no,no
301424,1980,40,female,african,ncv4,yes,gauteng,informal,1,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,0.0,,no,,,,friends/family,,,from friends/family,,,,no,yes,yes,,,0.0,,,,,no,no,no
301426,1962,58,female,african,4,,mpumalanga,house/flat,3,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,0.0,,no,,,,other,,,from own business,from other,,3000.0,yes,no,no,yes,over 4 hours more,3.0,no school books,no,no,yes,no,no,no
301429,1966,54,female,african,11,no,gauteng,house/flat,2,yes,yes,yes,5.0,8.0,5400,,no,no,,,,,,,,no,within last month,0.0,,0.0,,no,,,,employment,own business,,from employment,from own business,,7900.0,yes,no,no,,,,,,,,no,no,no
301434,1970,50,female,african,10,no,gauteng,house/flat,5,yes,no,yes,5.0,5.0,1250,,no,,casual work,elementary occup,5.0,5.0,5000.0,,no,,,2.0,,1.0,,no,,,,employment,,,no income,,,5000.0,no,no,no,yes,over 4 hours more,2.0,no,yes,yes,yes,no,no,no
301438,1966,54,female,african,12,no,gauteng,house/flat,7,yes,yes,no,4.0,8.0,700,,no,no,,,,,,,,,,2.0,,1.0,,no,,,,government grants,,,no income decrease,,,3000.0,no,no,no,yes,over 4 hours more,3.0,yes,yes,yes,,no,no,no
301440,1960,60,female,african,11,yes,gauteng,house/flat,5,yes,yes,yes,5.0,8.0,,"R3,001-R6,000",no,yes,regular job,craft & trade,,,,,yes,,,1.0,,0.0,,no,,,,employment,,,from employment,,,1152.0,yes,no,no,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,no,no
301444,1979,41,male,african,12,yes,gauteng,house/flat,6,yes,yes,yes,5.0,9.0,9000,,yes,,regular job,elementary occup,4.0,9.0,6000.0,,no,,,0.0,,0.0,,no,,,,employment,,,from employment,,,6000.0,yes,yes,no,yes,over 4 hours more,1.0,no,no,no,no,no,no,no
301445,1989,31,male,african,12,no,gauteng,house/flat,5,yes,yes,yes,6.0,10.0,7000,,yes,,regular job,service & sales,6.0,10.0,7000.0,,no,,,0.0,,0.0,,no,,,,employment,,,from employment,,,17000.0,no,no,no,,,,,,,,no,no,no
301459,1977,43,female,african,11,no,limpopo,house/flat,3,no,yes,yes,6.0,9.0,1000,,no,no,,,,,,,,no,1-6 months ago,1.0,,0.0,,yes,child support,,,own business,,,from own business,,,1500.0,yes,yes,no,yes,over 4 hours more,1.0,no,yes,no,no,no,no,no
301460,1970,50,male,african,11,no,north west,house/flat,3,yes,yes,yes,7.0,12.0,2600,,no,no,,,,,,,,no,within last month,0.0,,0.0,,no,,,,employment,,,no income decrease,,,8600.0,no,no,no,,,,,,,,no,no,no
301461,1950,70,female,african,5,,limpopo,house/flat,3,yes,yes,retired,,,,,,,,,,,,,,,,1.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,,no,no,no,,,,,,,,no,no,no
301464,1981,39,male,african,12,yes,limpopo,house/flat,7,yes,yes,yes,7.0,8.0,,"R3,001-R6,000",no,,regular job,clerical support,,,,"R3,001-R6,000",no,,,1.0,,1.0,,no,,,,employment,,,from employment,,,,yes,no,no,yes,over 4 hours more,3.0,yes,no,yes,no,no,no,no
301465,1984,36,female,african,12,no,limpopo,house/flat,6,no,no,no,,,,,no,no,,,,,,,,yes,never worked,5.0,,0.0,,yes,child support,,,government grants,friends/family,,from friends/family,,,2200.0,yes,yes,no,yes,over 4 hours more,4.0,no,no,no,no,no,no,no
301466,9999,,female,african,0,,limpopo,house/flat,9,no,yes,retired,,,,,,,,,,,,,,,,1.0,,0.0,,no,,,,friends/family,,,from friends/family,,,,yes,yes,yes,yes,over 4 hours more,2.0,yes,no,no,no,no,no,no
301468,1976,44,female,african,10,no,limpopo,house/flat,5,yes,yes,no,,,980,,no,no,,,,,,,,,,2.0,,0.0,,yes,child support,,,government grants,,,no income decrease,,,0.0,no,no,no,yes,over 4 hours more,1.0,no,no,no,no,no,no,no
301469,1975,45,female,african,12,yes,limpopo,house/flat,3,no,yes,yes,3.0,8.0,1100,,no,,,,,,,,,no,within last month,1.0,,0.0,,no,,,,government grants,,,no income decrease,,,440.0,no,yes,no,yes,over 4 hours more,1.0,yes,yes,yes,no,no,no,no
301470,1959,61,female,african,3,,limpopo,house/flat,4,yes,yes,no,,,,,no,no,,,,,,,,,,2.0,,1.0,,yes,pension,,,government grants,,,,,,3000.0,no,no,no,,,,,,,,no,no,no
301471,1988,32,female,african,12,yes,limpopo,house/flat,6,yes,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,3.0,,0.0,,yes,child support,,,government grants,,,no income decrease,,,1380.0,no,no,no,yes,over 4 hours more,2.0,yes,no,no,no,no,no,no
301472,1986,34,male,african,10,no,limpopo,house/flat,10,yes,yes,no,,,,,no,no,,,,,,,,no,1-6 months ago,3.0,,1.0,,no,,,,employment,,,from employment,,,,yes,yes,yes,yes,over 4 hours more,4.0,yes,no,no,no,no,no,no
301473,1992,28,female,african,8,,limpopo,house/flat,10,yes,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,6.0,,0.0,,yes,child support,,,government grants,friends/family,,no income decrease,,,,yes,yes,yes,yes,nearly an hour,4.0,yes,yes,yes,no,no,no,no
301475,1988,32,male,african,12,yes,limpopo,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,no,6-12 months ago,1.0,,0.0,,no,,,,government grants,,,no income decrease,,,440.0,yes,yes,yes,yes,3-4 hours,1.0,no,yes,yes,no,no,no,yes
301476,1991,29,female,african,11,yes,limpopo,house/flat,7,no,yes,no,6.0,,1000,,no,,self-employed,,,,,,,,,4.0,,1.0,,yes,child support,,,own business,government grants,,from own business,,,4500.0,yes,yes,no,yes,over 4 hours more,3.0,yes,yes,yes,no,no,no,no
301479,1985,35,male,african,11,no,limpopo,house/flat,5,no,yes,yes,7.0,12.0,3100,,yes,,regular job,service & sales,7.0,12.0,3100.0,,no,,,3.0,,0.0,,no,,,,employment,,,from employment,,,,no,no,no,yes,over 4 hours more,2.0,no,yes,yes,no,no,no,no
301482,1974,46,male,african,10,no,limpopo,house/flat,3,yes,yes,no,2.0,,1500,,no,no,,,,,,,,no,>1 year ago,2.0,,0.0,,yes,child support,,,government grants,,,from own business,,,840.0,yes,no,no,yes,nearly an hour,2.0,yes,no,yes,no,yes,yes,no
301484,1982,38,male,african,5,,limpopo,house/flat,5,no,yes,no,,,,,no,no,,,,,,,,no,never worked,4.0,,4.0,,no,,,,no income,,,from other,,,0.0,yes,yes,yes,no,,3.0,no,no,no,no,no,no,no
301488,1987,33,male,african,10,yes,mpumalanga,house/flat,4,yes,yes,yes,7.0,12.0,2000,,yes,,casual work,service & sales,7.0,12.0,4350.0,,no,,,2.0,,0.0,,no,,,,employment,,,from employment,,,5700.0,no,no,no,yes,over 4 hours more,2.0,no,yes,yes,yes,no,no,no
301501,1963,57,female,african,no schooling,,mpumalanga,house/flat,7,no,yes,no,,,,,no,yes,self-employed,,,,,,,,,3.0,,0.0,,no,,,,own business,,,from own business,,,2700.0,yes,yes,no,yes,over 4 hours more,2.0,yes,yes,no,yes,no,no,no
301507,1988,32,female,african,12,yes,gauteng,house/flat,3,yes,yes,yes,5.0,12.0,,"R3,001-R6,000",no,,regular job,technicians & assoc prof,7.0,12.0,,"R3,001-R6,000",no,,,0.0,,0.0,,no,,,,employment,,,from employment,,,4200.0,yes,yes,no,,,,,,,,no,no,no
301509,9999,,female,african,no schooling,,limpopo,house/flat,17,yes,yes,no,,,,,no,no,,,,,,,,,,11.0,,2.0,,yes,pension,,,government grants,,,no income decrease,,,,no,no,no,no,,12.0,no,yes,yes,no,no,no,no
301510,1984,36,male,african,12,no,limpopo,house/flat,12,no,yes,yes,5.0,8.0,,"R3,001-R6,000",yes,,regular job,service & sales,5.0,12.0,4000.0,,no,,,,yes,2.0,,no,,,,government grants,,,from employment,,,,no,no,no,no,,,no,no,no,no,no,no,no
301523,1988,32,male,african,11,no,gauteng,house/flat,2,yes,yes,yes,5.0,12.0,4900,,yes,,regular job,service & sales,5.0,12.0,4800.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,4800.0,no,no,no,,,,,,,,no,no,no
301534,1952,68,male,african,2,,limpopo,house/flat,6,yes,yes,no,,,,,no,no,,,,,,,,,,3.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,,no,no,no,no,,2.0,yes,yes,yes,no,no,no,no
301535,1991,29,female,african,9,no,limpopo,house/flat,5,,no,no,,,,,no,no,,,,,,,,yes,never worked,3.0,,,no,no,,,,employment,,,,,,1210.0,no,yes,yes,yes,over 4 hours more,2.0,yes,yes,yes,no,no,no,yes
301551,1982,38,male,african,12,no,limpopo,house/flat,1,,yes,no,,,,,no,no,,,,,,,,no,6-12 months ago,,no,,no,no,,,,,,,,,,,no,yes,no,no,,0.0,no,,,,yes,yes,yes
301556,9999,,female,african,11,no,limpopo,informal,6,no,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,2.0,,0.0,,no,,,,no income,,,no income,,,800.0,yes,yes,yes,yes,over 4 hours more,1.0,yes,yes,yes,no,no,no,no
301562,1976,44,male,african,11,yes,limpopo,house/flat,5,yes,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,1.0,,1.0,,no,,,,government grants,,,from own business,,,,yes,no,no,no,,2.0,no,yes,yes,no,no,no,no
301564,1981,39,female,african,12,yes,north west,house/flat,6,yes,yes,yes,5.0,8.0,2143,,no,no,,,,,,,,yes,1-6 months ago,3.0,,1.0,,no,,,,employment,,,,,,2200.0,no,no,no,yes,over 4 hours more,2.0,yes,yes,no,no,no,no,no
301580,1973,47,female,african,12,yes,mpumalanga,house/flat,4,no,yes,no,,,,,no,yes,regular job,professionals,0.0,0.0,,"R12,001-R24,000",no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,,no,no,no,yes,over 4 hours more,2.0,yes,yes,no,yes,no,no,no
301607,1975,45,male,african,11,no,,house/flat,5,yes,yes,no,,,,,no,no,,,,,,,,,,0.0,,2.0,,no,,,,government grants,,,no income decrease,,,,no,no,no,no,,1.0,,,yes,no,no,no,no
301608,1977,43,female,african,5,,mpumalanga,house/flat,3,yes,yes,retired,,,,,,,,,,,,,,,,,no,,no,no,,,,,,,,,,,yes,yes,no,no,,0.0,no school books,no,no,no,no,no,no
